Run,Method,Time (seconds)
5,MID | X | SPLINE,0.009546041
5,MID | X | SPLINE,0.009540081
5,MID | X | SPLINE,0.007956028
5,MID | X | SPLINE,0.00725174
5,MID | X | SPLINE,0.007509947
5,MID | X | SPLINE,0.007102013
5,MID | X | SPLINE,0.007730007
5,MID | X | SPLINE,0.007135153
5,MID | X | SPLINE,0.007668972
5,MID | X | SPLINE,0.007049084
5,MID | X | SPLINE,0.007241011
5,MID | X | SPLINE,0.007554054
5,MID | X | SPLINE,0.007248878
5,FULL | X | SPLINE,0.007524014
5,FULL | X | SPLINE,0.007226706
5,FULL | X | SPLINE,0.007277012
5,FULL | X | SPLINE,0.00719595
5,FULL | X | SPLINE,0.007272959
5,FULL | X | SPLINE,0.007402897
5,FULL | X | SPLINE,0.006998062
5,FULL | X | SPLINE,0.007256031
5,FULL | X | SPLINE,0.00716114
5,FULL | X | SPLINE,0.007143974
5,FULL | X | SPLINE,0.007366896
5,FULL | X | SPLINE,0.007436991
5,FULL | X | SPLINE,0.007127047
5,FULL | X | SPLINE,0.007350683
5,FULL | X | SPLINE,0.006991148
5,FULL | X | SPLINE,0.007096052
5,FULL | X | SPLINE,0.007008076
5,FULL | X | SPLINE,0.007499695
5,FULL | X | SPLINE,0.007197142
5,FULL | X | SPLINE,0.007457733
5,FULL | X | SPLINE,0.007123947
5,FULL | X | SPLINE,0.00704217
5,FULL | X | SPLINE,0.007099867
5,FULL | X | SPLINE,0.007321119
5,FULL | X | SPLINE,0.007368803
5,FULL | X | SPLINE,0.00737977
5,FULL | X | SPLINE,0.006940126
5,FULL | X | SPLINE,0.007150888
5,FULL | X | SPLINE,0.00710988
5,FULL | X | SPLINE,0.007429123
5,MID | X | PDE,0.00743103
5,MID | X | PDE,0.0078578
5,MID | X | PDE,0.007383108
5,MID | X | PDE,0.007592916
5,MID | X | PDE,0.007667065
5,MID | X | PDE,0.007542133
5,MID | X | PDE,0.007578135
5,MID | X | PDE,0.007490158
5,MID | X | PDE,0.007626057
5,MID | X | PDE,0.007354975
5,MID | X | PDE,0.007528067
5,MID | X | PDE,0.0077672
5,MID | X | PDE,0.007415771
5,MID | X | PDE,0.008020878
5,MID | X | PDE,0.007439137
5,MID | X | PDE,0.007702112
5,MID | X | PDE,0.007842779
5,MID | X | PDE,0.00781703
5,MID | X | PDE,0.007505178
5,MID | X | PDE,0.007726908
5,MID | X | PDE,0.007925987
5,MID | X | PDE,0.007592916
5,MID | X | PDE,0.007835865
5,MID | X | PDE,0.007466793
5,MID | X | PDE,0.007748127
5,MID | X | PDE,0.007498026
5,MID | X | PDE,0.007570028
5,MID | X | PDE,0.007741928
5,MID | X | PDE,0.007786036
5,MID | X | PDE,0.007791042
5,FULL | X | PDE,0.007604837
5,FULL | X | PDE,0.007726669
5,FULL | X | PDE,0.007461786
5,FULL | X | PDE,0.007414103
5,FULL | X | PDE,0.007393122
5,FULL | X | PDE,0.007568121
5,FULL | X | PDE,0.007409334
5,FULL | X | PDE,0.007473946
5,FULL | X | PDE,0.007623911
5,FULL | X | PDE,0.007467985
5,FULL | X | PDE,0.007457018
5,FULL | X | PDE,0.007711172
5,FULL | X | PDE,0.007411003
5,FULL | X | PDE,0.00799489
5,FULL | X | PDE,0.007469177
5,FULL | X | PDE,0.007801771
5,FULL | X | PDE,0.007614136
5,FULL | X | PDE,0.007791042
5,FULL | X | PDE,0.007447004
5,FULL | X | PDE,0.007686853
5,FULL | X | PDE,0.007483959
5,FULL | X | PDE,0.00767827
5,FULL | X | PDE,0.007881403
5,FULL | X | PDE,0.007744074
5,FULL | X | PDE,0.007856131
5,FULL | X | PDE,0.007816076
5,FULL | X | PDE,0.007453918
5,FULL | X | PDE,0.007493973
5,FULL | X | PDE,0.007420301
5,FULL | X | PDE,0.007702827
6,MID | X | SPLINE,0.007379293
6,MID | X | SPLINE,0.007839918
6,MID | X | SPLINE,0.007390261
6,MID | X | SPLINE,0.007639885
6,MID | X | SPLINE,0.007194281
6,MID | X | SPLINE,0.007592916
6,MID | X | SPLINE,0.007246017
6,MID | X | SPLINE,0.007378101
6,MID | X | SPLINE,0.007201195
6,MID | X | SPLINE,0.00721097
6,MID | X | SPLINE,0.007369041
6,MID | X | SPLINE,0.007596016
6,MID | X | SPLINE,0.007361889
